feature,importance
popularite_n_clients,44640582.2494688
n_pass_distincts_verif,10406558.613453865
type_ressource_prefere,7583014.926771164
panier_moyen,6234354.520908356
volume_mo_moyen,5386574.288432121
total_achats,3151371.3370904922
vol_up_go_total,1032614.7189083099
ca_total,975973.7060222626
duree_totale_appel,711892.9559059143
type_ressource,574683.7436218262
mnt_recharge_6m,297500.6533985138
achats_moyen_par_client,287310.0353794098
region,277486.74225234985
nb_appels_total,270185.98413944244
montant_moyen_par_achat,256101.72275924683
vol_down_go_total,223367.5510406494
total_pass_montant_verif,156646.7231578827
pct_achats_international,117047.7525548935
achats_moyen_par_pass,93081.13242530823
n_achats_international_1,89112.9485244751
ambigu,50285.25633239746
anciennete_jours,47475.14550590515
nb_recharge_6m,42094.34053230286
duree_data_totale,23081.455169677734
nb_categories_appel_distinct,19509.867542266846
type_client_dominant,13741.145631790161
n_achats_international,11093.657218933105
nb_sessions_data,9578.511577606201
nb_canaux_recharge_distinct,8451.893640518188
n_achats_pour_tiers,4736.295909881592
jours_depuis_dernier_achat,3511.3258743286133
pct_achats_pour_tiers,3095.4098148345947
type_client_cible,1439.6707763671875
age_estime,1178.0227966308594
n_achats_pour_tiers_1,1145.7387142181396
segment,703.0149841308594
nb_reseaux_distinct,519.6100006103516
a_deja_achete_pass,0.0
n_lignes_interaction,0.0
flag_age_moins_15ans,0.0
device_type,0.0
