bin,n,mean_predicted,mean_observed
"(-0.001, 0.000157]",1568258,8.7941864609139e-05,9.05463259234131e-05
"(0.000157, 0.000472]",379333,0.0002767786888033983,0.0002978912986742519
"(0.000472, 0.00308]",995312,0.0018190052308620418,0.001791398074171717
"(0.00308, 0.013]",804261,0.007797376203965972,0.007901663763380296
"(0.013, 0.0406]",991684,0.025666540584712155,0.025324599368347175
"(0.0406, 0.115]",909072,0.07611487391718742,0.07574977559533239
"(0.115, 0.291]",915284,0.18960779254454632,0.18954663252061654
"(0.291, 0.626]",937753,0.45258667461984925,0.4522192944197459
"(0.626, 0.915]",945609,0.7928868755879909,0.7939750996447792
"(0.915, 1.0]",920199,0.9687543665175085,0.9690219180851098
