bin,n,mean_predicted,mean_observed
"(-0.000875, 0.000469]",936677,0.0003001734677386537,3.096051253527096e-05
"(0.000469, 0.00163]",936676,0.0009153293229198597,0.00020284495385811103
"(0.00163, 0.00586]",936677,0.0032666378787595397,0.0014732933551266873
"(0.00586, 0.0197]",936676,0.011923797897596585,0.007243700062775175
"(0.0197, 0.0511]",936677,0.03314975703661449,0.02432215160615666
"(0.0511, 0.131]",936676,0.08491322806440688,0.07253094986953866
"(0.131, 0.303]",936676,0.2078959128201893,0.18674226733683794
"(0.303, 0.613]",936677,0.44992575341200347,0.4496395235497402
"(0.613, 0.884]",936676,0.7595421748559942,0.7905615175364801
"(0.884, 0.999]",936677,0.9485643846753115,0.9680209933627066
