feature,importance_gain,importance_split,pct_gain
popularite_n_clients,142386520.53141785,1104,60.232275380859235
n_pass_distincts_verif,36021792.01448059,1399,15.237920613766866
type_ressource_prefere,14379130.135528564,979,6.082652506908226
panier_moyen,12150456.532806396,1958,5.13988010350791
volume_mo_moyen,11316907.365661621,1172,4.787272547739512
vol_up_go_total,2988703.21875,584,1.264279755074775
type_ressource,2437781.2905273438,532,1.0312290339095012
ca_total,2083512.447402954,307,0.8813664033860009
montant_moyen_par_achat,2062274.489227295,597,0.8723823328392303
duree_totale_appel,1982648.4917907715,640,0.8386989828481473
nb_appels_total,1408350.255569458,554,0.5957596274532574
region,1185809.3915100098,389,0.5016205013794139
total_achats,1185709.040435791,230,0.501578050917709
achats_moyen_par_client,821957.0310668945,206,0.34770385610715554
mnt_recharge_6m,785363.1123962402,345,0.3322239147587098
vol_down_go_total,562533.4570770264,145,0.23796262434921947
n_achats_international_1,505394.9498901367,80,0.21379192134385633
n_achats_international,443317.1343383789,85,0.1875317945607833
total_pass_montant_verif,396357.1569366455,203,0.16766680818297505
achats_moyen_par_pass,323257.68685913086,241,0.13674430656223896
anciennete_jours,231739.970413208,153,0.09803052748662826
pct_achats_international,206999.89889526367,121,0.0875649946886541
nb_recharge_6m,135715.41119384766,97,0.05741026601356321
n_achats_pour_tiers,101320.5737915039,56,0.04286057893387419
duree_data_totale,96339.50390625,74,0.04075348921849823
n_achats_pour_tiers_1,51230.82945251465,11,0.02167164009666786
ambigu,42995.42289733887,32,0.01818790249528986
nb_categories_appel_distinct,23137.655853271484,27,0.009787679717296624
type_client_dominant,23010.32794189453,7,0.009733817527300667
pct_achats_pour_tiers,21982.114212036133,26,0.00929886306464459
nb_canaux_recharge_distinct,10894.630004882812,16,0.004608640987767376
nb_sessions_data,9035.571960449219,10,0.003822223174736976
type_client_cible,5009.64794921875,7,0.002119178793837584
n_lignes_interaction,4794.514953613281,3,0.00202817334060749
age_estime,3153.760040283203,8,0.00133410200995517
jours_depuis_dernier_achat,343.60400390625,1,0.000145351195520509
segment,239.9530029296875,1,0.00010150480043324044
a_deja_achete_pass,0.0,0,0.0
nb_reseaux_distinct,0.0,0,0.0
flag_age_moins_15ans,0.0,0,0.0
device_type,0.0,0,0.0
